Sample,SiO2,Al2O3,TiO2,Fe2O3,MgO,CaO,Na2O,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,Tectonic setting
ANT11,44.64,1.26,0.02,8.85,42.63,1.44,0.0,0.04,0.04,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.01,0.03,0.06,0.01,SSZ
ANT33,43.82,0.99,0.02,8.42,44.55,0.87,0.0,0.12,0.18,0.02,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.05,0.01,SSZ
ANT37,44.05,1.05,0.02,8.52,44.08,1.01,0.0,0.12,0.17,0.02,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.04,0.01,SSZ
s_PAT2-68,43.48,0.55,0.01,8.07,45.25,0.65,0.12,0.34,0.4,0.04,0.13,0.02,0.01,0.03,0.01,0.02,0.01,0.02,0.03,0.01,OIB
s_BY 96 364,44.05,0.81,0.02,7.4,45.57,0.71,0.03,0.33,0.73,0.09,0.37,0.07,0.03,0.06,0.01,0.05,0.01,0.03,0.04,0.01,OIB
s_BY 96 366,43.33,0.7,0.0,7.2,46.38,0.81,0.01,0.15,0.33,0.04,0.16,0.04,0.01,0.06,0.02,0.12,0.03,0.08,0.1,0.02,OIB
s_BY 96 376,43.43,0.82,0.02,7.2,46.39,0.58,0.02,0.29,0.63,0.08,0.31,0.06,0.02,0.06,0.01,0.05,0.01,0.03,0.02,0.0,OIB
s_BY 96 378,42.87,0.65,0.0,7.51,47.02,0.49,0.0,0.38,0.83,0.1,0.44,0.1,0.03,0.09,0.02,0.1,0.02,0.05,0.06,0.01,OIB
s_TC 06 019,43.86,0.8,0.0,7.15,45.94,0.65,0.01,0.04,0.08,0.01,0.05,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.02,0.0,OIB
s_TC 06 128,43.38,0.78,0.0,7.33,46.58,0.57,0.03,0.08,0.18,0.02,0.09,0.02,0.01,0.01,0.0,0.01,0.0,0.01,0.02,0.0,OIB
s_TC 06 132,44.17,0.98,0.03,7.29,44.49,1.07,0.04,0.42,0.97,0.12,0.48,0.11,0.03,0.1,0.02,0.08,0.02,0.04,0.05,0.01,OIB
s_TC 06 146,43.98,0.91,0.0,7.17,45.4,0.68,0.03,0.07,0.16,0.02,0.07,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,OIB
s_TC 06 149,43.67,0.76,0.02,7.34,46.3,0.65,0.01,0.24,0.52,0.06,0.25,0.05,0.02,0.05,0.01,0.04,0.01,0.03,0.03,0.01,OIB
s_BY 96 371,44.12,0.83,0.01,6.37,46.39,0.62,0.05,0.6,1.18,0.12,0.47,0.06,0.02,0.04,0.01,0.03,0.01,0.02,0.02,0.0,OIB
s_BY 96 372,44.63,0.96,0.02,6.89,46.05,0.69,0.03,0.24,0.53,0.07,0.27,0.06,0.02,0.05,0.01,0.05,0.01,0.03,0.03,0.01,OIB
s_BY 96 373,43.76,0.76,0.01,6.8,46.49,0.57,0.04,0.06,0.14,0.02,0.07,0.02,0.01,0.02,0.0,0.02,0.0,0.01,0.02,0.0,OIB
s_BY 96 373,44.11,0.91,0.01,7.19,46.66,0.6,0.02,0.19,0.42,0.05,0.21,0.05,0.01,0.04,0.01,0.03,0.01,0.02,0.03,0.01,OIB
s_BY 96 373 ,42.99,0.62,0.02,6.32,47.45,0.46,0.07,0.23,0.5,0.06,0.24,0.05,0.02,0.05,0.01,0.05,0.01,0.03,0.03,0.01,OIB
s_PAT2-29,42.95,0.41,0.01,8.05,46.04,0.54,0.2,0.2,0.32,0.02,0.07,0.01,0.01,0.02,0.0,0.01,0.0,0.1,0.02,0.0,OIB
s_PAT2-31,43.66,0.53,0.01,7.85,45.18,0.59,0.11,0.21,0.4,0.04,0.15,0.04,0.01,0.01,0.03,0.03,0.01,0.02,0.04,0.01,OIB
s_PAT2-70,42.06,0.53,0.03,8.77,45.46,1.41,0.29,4.4,8.49,0.92,2.98,0.47,0.14,0.49,0.06,0.3,0.05,0.14,0.15,0.02,OIB
s_PAT2-75,43.38,0.57,0.01,8.17,45.2,0.69,0.13,0.42,0.73,0.06,0.17,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.04,0.01,OIB
s_PAT2-85,43.34,0.47,0.02,7.99,45.51,0.52,0.22,1.25,2.25,0.24,0.83,0.16,0.05,0.17,0.02,0.14,0.03,0.08,0.08,0.01,OIB
s_PAT2-90,43.58,0.57,0.01,8.04,44.78,0.8,0.24,1.18,2.26,0.21,0.65,0.13,0.04,0.16,0.02,0.13,0.03,0.07,0.08,0.01,OIB
s_TF14-45,41.89,0.65,0.12,7.98,45.8,0.98,0.21,5.0,10.4,1.18,4.7,0.9,0.24,0.8,0.1,0.6,0.1,0.4,0.3,0.05,OIB
s_TF14-39,42.46,0.6,0.06,8.08,44.97,1.52,0.23,11.2,24.8,2.67,9.4,1.4,0.32,1.1,0.2,1.0,0.2,0.5,0.5,0.08,OIB
s_TF14-5,42.43,0.84,0.19,10.09,41.87,2.36,0.14,1.2,3.9,0.64,3.2,0.9,0.26,0.9,0.2,1.0,0.2,0.6,0.6,0.09,OIB
s_TF14-42,40.85,0.83,0.2,8.74,44.6,1.45,0.18,3.2,6.4,0.73,3.0,0.7,0.17,0.5,0.05,0.5,0.1,0.3,0.4,0.08,OIB
s_TF14-41,42.12,0.66,0.12,8.45,44.95,1.47,0.15,1.4,3.8,0.58,2.8,0.8,0.17,0.7,0.1,0.6,0.1,0.4,0.4,0.07,OIB
s_FT9-9,43.79,0.42,0.02,7.69,46.34,0.49,0.09,0.28,0.55,0.07,0.27,0.06,0.02,0.05,0.01,0.04,0.01,0.03,0.03,0.01,OIB
s_FBA1-3,42.56,0.86,0.15,8.08,46.07,1.37,0.06,2.22,4.71,0.61,2.56,0.55,0.15,0.45,0.08,0.32,0.06,0.16,0.12,0.02,OIB
s_FT9-2,42.71,0.48,0.07,7.86,46.15,0.74,0.09,0.98,1.96,0.25,1.01,0.21,0.06,0.19,0.02,0.14,0.02,0.07,0.06,0.01,OIB
s_FT9-3,41.41,0.22,0.02,8.36,47.88,0.36,0.09,0.15,0.3,0.04,0.15,0.04,0.01,0.03,0.03,0.03,0.01,0.02,0.02,0.0,OIB
s_FT9-8,44.32,0.69,0.06,7.61,44.64,0.65,0.1,1.41,2.75,0.33,1.28,0.24,0.08,0.19,0.03,0.14,0.02,0.07,0.06,0.01,OIB
s_FT9-32,42.42,0.51,0.03,8.58,46.17,0.76,0.11,0.62,1.5,0.16,0.66,0.14,0.05,0.13,0.02,0.11,0.02,0.07,0.07,0.01,OIB
s_FBA1-2,42.56,0.44,0.06,7.74,47.94,0.72,0.07,2.3,3.96,0.58,2.26,0.53,0.27,0.64,0.05,0.47,0.09,0.24,0.18,0.03,OIB
s_FBA1-22,41.98,0.38,0.07,8.13,48.06,1.11,0.07,3.43,4.29,0.71,2.86,0.54,0.43,0.45,0.07,0.3,0.05,0.16,0.12,0.02,OIB
s_FT9-6,42.38,0.32,0.06,7.98,47.34,0.66,0.07,1.0,1.96,0.26,1.06,0.22,0.07,0.19,0.03,0.14,0.03,0.08,0.07,0.01,OIB
s_FT9-10,42.53,0.8,0.17,8.34,44.78,1.38,0.06,2.77,5.68,0.74,3.01,0.67,0.2,0.72,0.07,0.46,0.08,0.22,0.14,0.02,OIB
s_OB-93-3,44.51,1.39,0.04,7.64,44.15,0.86,0.16,1.33,3.61,0.48,2.12,0.47,0.15,0.46,0.07,0.37,0.08,0.2,0.19,0.03,OIB
s_OB-93-5,43.42,1.24,0.08,7.45,44.21,0.8,0.15,3.28,6.37,0.72,2.57,0.45,0.13,0.4,0.06,0.29,0.05,0.15,0.14,0.02,OIB
s_OB-93-426,44.9,0.8,0.01,7.2,44.8,0.75,0.1,0.15,0.29,0.03,0.13,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.03,0.01,OIB
s_GM-92-501,44.65,1.5,0.17,7.8,43.4,0.95,0.25,2.73,4.69,0.52,1.86,0.36,0.11,0.36,0.05,0.28,0.05,0.14,0.12,0.02,OIB
s_OB-94-8,44.41,1.3,0.01,7.4,44.14,0.71,0.11,0.98,1.95,0.2,0.71,0.12,0.03,0.08,0.01,0.08,0.02,0.04,0.04,0.01,OIB
s_OB-92-501,44.65,1.5,0.17,7.79,43.4,0.94,0.24,2.73,4.69,0.52,1.86,0.36,0.11,0.36,0.05,0.28,0.05,0.14,0.12,0.02,OIB
s_FT9-34,43.01,0.37,0.03,8.2,46.54,0.52,0.1,0.42,0.81,0.1,0.43,0.09,0.03,0.08,0.01,0.07,0.01,0.04,0.05,0.01,OIB
s_FBA1-18,43.77,0.71,0.03,7.78,47.02,0.65,0.11,0.85,1.56,0.21,0.84,0.16,0.07,0.13,0.02,0.09,0.02,0.05,0.04,0.01,OIB
s_FT9-29,42.25,0.58,0.11,8.57,46.49,0.92,0.07,2.11,4.08,0.55,2.22,0.46,0.13,0.37,0.05,0.26,0.05,0.14,0.11,0.02,OIB
s_FBA1-9,43.24,0.65,0.06,7.59,46.61,0.92,0.07,1.64,3.25,0.41,1.6,0.31,0.14,0.26,0.04,0.18,0.03,0.1,0.08,0.01,OIB
s_FT9-33B,43.21,0.64,0.08,8.2,45.48,0.75,0.09,1.27,2.23,0.32,1.32,0.28,0.08,0.24,0.03,0.18,0.03,0.09,0.08,0.01,OIB
